Ano,Mes,Mes_txt,Produto,Descricao,Orçado,Realizado,Var_pct,Var_rs
2020,4,Abr,1820213,1820213 - RENDAS BANESTES FINANCEIRA,0,0,0,0
2020,4,Abr,1820214,1820214 - RENDAS CARTAO VISA,43117.12,35583.33,-17.4728506913263,-7533.79
2020,4,Abr,1820215,1820215 - RENDAS CARTAO BANESCARD,70201.4,60872.11,-13.2893218653759,-9329.28999999999
2020,4,Abr,1820216,1820216 - RENDAS TITULOS DESCONTADOS,29160.15,33505.95,14.9032155184387,4345.8
2020,4,Abr,1820217,1820217 - RENDAS F. INVESTIMENTO,1274.49,0,-100,-1274.49
2020,4,Abr,1820218,1820218 - RENDAS F. VEICULOS,0,0,0,0
2020,4,Abr,1820219,1820219 - RENDAS F. BENS,5163.3,7856.16,52.1538550926733,2692.86
2020,4,Abr,1820221,1820221 - RENDAS F. RURAIS,0,0,0,0
2020,4,Abr,1820222,1820222 - RENDAS F. IMOBILIARIOS,26357.64,26143.67,-0.811794986197556,-213.970000000001
2020,4,Abr,1820223,1820223 - RENDAS LEASING,0,0,0,0
2020,4,Abr,1820224,1820224 - RENDAS DE CAMBIO,0,0,0,0
2020,4,Abr,1820225,1820225 - RENDAS F. INFRAESTRUTURA,0,0,0,0
2020,4,Abr,1820226,1820226 - RENDAS MOEDA ESTRANGEIRA,0,0,0,0
2020,5,Mai,18201,18201 - SALDO DA CARTEIRA DE CREDITO,39150178.13,39612673.82,1.18133738361101,462495.689999998
2020,5,Mai,1820101,1820101 - ADIANTAMENTOS A DEPOSITANTES,0,355.48,0,355.48
